井名	深度	GR	SP	RT	AC	CNL	DEN	RT.1	RT.2	RT.3	RT.4	RT.5	RT.6	RT.7	RT.8	RT.9	解释结论	层位
苏257	2248.750	108.186	67.384	14.198	256.54	28.858	2.562	12.948	12.673	15.725	13.555	14.084	12.633	11.973	16.006	14.835		chang4+5
苏257	2248.875	119.0	66.885	15.122	266.818	30.694	2.493	12.267	13.342	14.65	14.404	15.012	13.207	12.509	14.384	13.496		chang4+5
苏257	2249.000	134.191	66.315	15.425	278.135	32.843	2.4	9.804	13.624	11.357	14.703	15.328	13.389	12.758	12.599	11.835		chang4+5
苏257	2249.125	148.652	65.664	13.929	281.029	34.454	2.352	7.252	12.458	8.016	13.322	13.855	12.177	11.72	10.972	9.998		chang4+5
苏257	2249.250	156.514	64.928	10.786	273.946	33.039	2.39	6.287	9.861	6.606	10.374	10.738	9.618	9.366	9.909	8.774		chang4+5
苏257	2249.375	149.93	64.107	7.929	261.645	28.948	2.479	6.519	7.481	6.551	7.691	7.901	7.302	7.216	9.463	8.37		chang4+5
苏257	2249.500	130.453	63.237	6.654	246.823	24.757	2.539	7.452	6.502	7.141	6.508	6.635	6.339	6.381	9.453	8.524		chang4+5
苏257	2249.625	109.431	62.369	6.69	234.719	23.075	2.54	8.378	6.75	7.699	6.572	6.67	6.544	6.722	9.805	9.087		chang4+5
苏257	2249.750	93.99	61.537	7.239	229.597	23.062	2.529	8.981	7.543	7.994	7.138	7.215	7.257	7.617	10.48	9.913		chang4+5
苏257	2249.875	85.704	60.741	7.739	228.009	22.993	2.535	9.368	8.287	8.158	7.647	7.707	7.92	8.469	11.28	10.771		chang4+5
苏257	2250.000	82.727	59.958	8.015	227.76	23.125	2.546	9.704	8.761	8.342	7.925	7.972	8.338	9.035	12.149	11.693		chang4+5
苏257	2250.125	85.376	59.145	8.191	227.766	23.764	2.55	10.016	9.081	8.564	8.1	8.134	8.623	9.425	13.093	12.715		chang4+5
苏257	2250.250	87.156	58.253	8.382	227.528	24.318	2.541	10.254	9.367	8.79	8.284	8.309	8.89	9.758	14.072	13.756		chang4+5
苏257	2250.375	85.353	57.271	8.604	227.402	24.185	2.528	10.336	9.637	8.955	8.495	8.511	9.155	10.054	14.951	14.685	水层	chang4+5
苏257	2250.500	80.884	56.247	8.816	227.497	23.336	2.518	10.243	9.843	9.03	8.697	8.704	9.378	10.262	15.542	15.241	水层	chang4+5
苏257	2250.625	80.041	55.269	8.964	227.75	23.341	2.507	10.029	9.919	9.046	8.837	8.833	9.499	10.312	15.742	15.263	水层	chang4+5
苏257	2250.750	81.245	54.413	9.028	227.968	24.144	2.493	9.795	9.853	9.076	8.897	8.883	9.504	10.197	15.677	14.95	水层	chang4+5
苏257	2250.875	80.243	53.733	9.052	227.595	24.324	2.487	9.586	9.708	9.161	8.918	8.896	9.444	9.987	15.593	14.557	水层	chang4+5
苏257	2251.000	78.524	53.204	9.094	226.239	23.915	2.499	9.451	9.555	9.365	8.955	8.93	9.384	9.76	15.757	14.404	水层	chang4+5
苏257	2251.125	79.473	52.757	9.205	224.072	23.187	2.521	9.421	9.446	9.748	9.055	9.034	9.372	9.567	16.421	14.802	水层	chang4+5
苏257	2251.250	81.98	52.315	9.439	221.43	22.486	2.538	9.508	9.425	10.358	9.268	9.26	9.454	9.45	17.667	15.767	水层	chang4+5
苏257	2251.375	82.093	51.848	9.868	218.236	21.287	2.553	9.703	9.536	11.235	9.659	9.675	9.677	9.443	19.677	17.463	水层	chang4+5
苏257	2251.500	84.865	51.382	10.531	214.284	20.35	2.577	9.93	9.792	12.297	10.268	10.324	10.063	9.551	22.667	20.145	水层	chang4+5
苏257	2251.625	88.618	50.94	11.428	209.543	19.757	2.605	10.16	10.167	13.515	11.096	11.207	10.591	9.743	26.843	23.886	水层	chang4+5
苏257	2251.750	84.664	50.517	12.519	204.245	18.785	2.624	10.39	10.61	14.854	12.104	12.288	11.21	9.97	32.613	29.124	水层	chang4+5
苏257	2251.875	73.734	50.087	13.759	199.118	17.714	2.639	10.583	11.085	16.154	13.249	13.522	11.878	10.201	40.232	36.147	干层	chang4+5
苏257	2252.000	65.315	49.631	15.08	194.862	16.386	2.649	10.71	11.56	17.22	14.476	14.843	12.556	10.422	48.785	43.973	干层	chang4+5
苏257	2252.125	57.621	49.147	16.326	191.991	15.31	2.651	10.781	11.975	17.848	15.649	16.101	13.162	10.6	56.475	50.492	干层	chang4+5
苏257	2252.250	50.707	48.666	17.311	190.393	15.108	2.648	10.817	12.278	17.956	16.605	17.111	13.621	10.719	62.668	55.063	干层	chang4+5
苏257	2252.375	48.145	48.238	17.847	189.836	14.818	2.645	10.85	12.442	17.496	17.181	17.688	13.875	10.786	66.745	58.221	干层	chang4+5
